

AT-42 [4seat] — 1 legs, 92.7 km, 4 pax carried  [OPEN (does not return to base)]
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-43 [4seat] — 1 legs, 92.7 km, 4 pax carried  [OPEN (does not return to base)]
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-44 [4seat] — 1 legs, 92.7 km, 4 pax carried  [OPEN (does not return to base)]
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-45 [4seat] — 1 legs, 92.7 km, 4 pax carried  [OPEN (does not return to base)]
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-46 [4seat] — 1 legs, 92.7 km, 4 pax carried  [OPEN (does not return to base)]
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

